id,NAME,YEAR,REQUIRE,CATEGORY,TERM
1,Triết học Mác-Lênin,1,1,Đại cương,1
2,Hóa đại cương 1,1,1,Đại cương,1
3,Vi tích phân 1B,1,1,Đại cương,1
4,Thực hành vi tích phân 1B,1,1,Đại cương,1
5,Vật lý đại cương 1 (Cơ - Nhiệt),1,1,Đại cương,1
6,Giới thiệu ngành Kỹ thuật hạt nhân,1,1,Đại cương,1
7,Anh văn 1,1,2,Đại cương,1
8,Thể dục 1,1,2,Đại cương,1
9,Kinh tế chính trị Mác-Lênin,1,1,Đại cương,2
10,Vi tích phân 2B,1,1,Đại cương,2
11,Đại số tuyến tính,1,1,Đại cương,2
12,Thực hành Vật lý đại cương,1,1,Đại cương,2
13,Vật lý đại cương 2 (Điện từ - Quang),1,1,Đại cương,2
14,Vật lý đại cương 3 (Cơ - Nhiệt nâng cao),1,1,Đại cương,2
15,Tin học cơ sở,1,2,Đại cương,2
16,Anh văn 2,1,2,Đại cương,2
17,Thể dục 2,1,2,Đại cương,2
18,Chủ nghĩa xã hội khoa học,2,1,Đại cương,1
19,Lịch sử Đảng Cộng sản Việt Nam,2,1,Đại cương,1
20,Hàm phức,2,1,Cơ sở ngành,1
21,Điện tử cơ bản,2,1,Cơ sở ngành,1
22,Xác suất thống kê,2,1,Đại cương,1
23,Vật lý hiện đại (Lượng tử - Nguyên tử - Hạt nhân),2,1,Đại cương,1
24,Thực hành vật lý cơ sở,2,1,Cơ sở ngành,1
25,Kinh tế đại cương ,2,0,Đại cương,1
26,Tâm lý đại cương ,2,0,Đại cương,1
27,Phương pháp luận sáng tạo ,2,0,Đại cương,1
28,Đổi mới sáng tạo và khởi nghiệp,2,0,Đại cương,1
29,Anh văn 3,2,2,Cơ sở ngành,1
30,Giáo dục quốc phòng – An ninh,2,2,Đại cương,1
31,Tư tưởng Hồ Chí Minh,2,1,Đại cương,2
32,Pháp luật đại cương,2,1,Đại cương,2
33,Vật lý hạt nhân,2,1,Cơ sở ngành,2
34,Phương pháp tính,2,1,Cơ sở ngành,2
35,Các phương pháp toán lý,2,1,Cơ sở ngành,2
36,Cơ lượng tử 1,2,1,Cơ sở ngành,2
37,Cơ sở ngành Kỹ thuật hạt nhân,2,1,Đại cương,2
38,Khoa học trái đất ,2,0,Đại cương,2
39,Môi trường đại cương ,2,0,Đại cương,2
40,Giới thiệu về biến đổi khí hậu và phát triển bền vững ,2,0,Đại cương,2
41,Anh văn 4,2,2,Cơ sở ngành,2
42,Điện động lực,3,1,Cơ sở ngành,1
43,Vật lý chất rắn,3,1,Cơ sở ngành,1
44,Vật lý thống kê ,3,1,Cơ sở ngành,1
45,Cơ sở vật lý phóng xạ,3,1,Chuyên ngành,1
46,Kỹ thuật ghi nhận bức xạ,3,1,Chuyên ngành,1
47,Cấu trúc và phản ứng hạt nhân,3,1,Chuyên ngành,1
48,Phân tích thống kê số liệu thực nghiệm trong kỹ thuật hạt nhân,3,1,Chuyên ngành,2
49,Thực tập cơ sở kỹ thuật hạt nhân,3,1,Chuyên ngành,2
50,An toàn bức xạ,3,1,Chuyên ngành,2
51,Vật lý lò phản ứng,3,1,Chuyên ngành,2
52,Những vấn đề mới trong vật lý hiện đại,3,0,Chuyên ngành,2
53,Phương pháp nghiên cứu khoa học,3,0,Chuyên ngành,2
54,Chính sách và pháp quy hạt nhân ,3,0,Chuyên ngành,2
55,Hóa phóng xạ,3,0,Chuyên ngành,2
56,An toàn lò phản ứng hạt nhân,3,0,Chuyên ngành,2
57,Ứng dụng tin học trong kỹ thuật hạt nhân,3,0,Chuyên ngành,2
58,Thực tập thực tế kỹ thuật hạt nhân,3,1,Chuyên ngành KTHN,2
59,Cơ sở vật lý trong xạ trị ,3,0,Chuyên ngành KTHN,2
60,Cơ sở vật lý trong y học hạt nhân ,3,0,Chuyên ngành KTHN,2
61,Kỹ thuật phân tích y sinh,3,0,Chuyên ngành KTHN,2
62,Vật liệu kỹ thuật hạt nhân,3,0,Chuyên ngành KTHN,2
63,Kinh tế năng lượng hạt nhân,3,0,Chuyên ngành  NLĐ và HN,2
64,Quản lý và tuyên truyền dự án điện hạt nhân,3,0,Chuyên ngành  NLĐ và HN,2
65,Vật liệu kỹ thuật hạt nhân,3,1,Chuyên ngành  NLĐ và HN,2
66,Thực tập thực tế kỹ thuật hạt nhân,3,0,Chuyên ngành  NLĐ và HN,2
67,Ứng dụng kỹ thuật hạt nhân trong môi trường và thủy văn ,4,0,Chuyên ngành ,1
68,Quản lý chất thải hạt nhân ,4,0,Chuyên ngành ,1
69, Nguyên lý và ứng dụng máy gia tốc,4,0,Chuyên ngành,1
70,Ứng dụng SPSS trong phân tích số liệu,4,0,Chuyên ngành,1
71,Ứng dụng phương pháp số trong lĩnh vực hạt nhân,4,0,Chuyên ngành ,1
72,Điện tử hạt nhân,4,0,Chuyên ngành ,1
73,Sinh học bức xạ ,4,0,Chuyên ngành ,1
74,Tư duy phản biện,4,0,Chuyên ngành ,1
75,Công nghệ bức xạ,4,1,Chuyên ngành KTHN,1
76,Kỹ thuật phân tích hạt nhân,4,1,Chuyên ngành KTHN,1
77,Thực tập chuyên đề kỹ thuật hạt nhân,4,1,Chuyên ngành KTHN,1
78,Ứng dụng KTHN trong Nông-Y-Sinh,4,1,Chuyên ngành KTHN,1
79,Ứng dụng kỹ thuật hạt nhân trong công nghiệp,4,1,Chuyên ngành KTHN,1
80,Các phương pháp NDT,4,1,Chuyên ngành KTHN,1
81,Công nghệ lò phản ứng và nhà máy điện hạt nhân ,4,0,Chuyên ngành KTHN,1
82,Vật lý hạt cơ bản ,4,0,Chuyên ngành KTHN,1
83,Ứng dụng máy học trong kỹ thuật hạt nhân,4,0,Chuyên ngành KTHN,1
84,Thiết bị và quy trình kỹ thuật trong chẩn đoán hình ảnh ,4,0,Chuyên ngành KTHN,1
85,Công nghệ lò phản ứng và nhà máy điện hạt nhân ,4,1,Chuyên ngành  NLĐ và HN,1
86,An toàn hạt nhân ,4,1,Chuyên ngành  NLĐ và HN,1
87,Mô phỏng vận hành nhà máy điện hạt nhân ,4,1,Chuyên ngành  NLĐ và HN,1
88,Thực tập chuyên đề Năng lượng hạt nhân ,4,1,Chuyên ngành  NLĐ và HN,1
89,Thủy nhiệt học trong lò phản ứng ,4,1,Chuyên ngành  NLĐ và HN,1
90,Chu trình nhiên liệu hạt nhân và quản lý nhiên liệu vùng hoạt,4,1,Chuyên ngành  NLĐ và HN,1
91,Điều khiển và  đo lường trong lò phản ứng,4,0,Chuyên ngành  NLĐ và HN,1
